Color,Description
WHITE,"Purity, transcendence, divine connection, higher self, spiritual clarity."
RED,"Vitality, life force, courage, root energy, passion, grounding."
ORANGE,"Creativity, sensuality, joy, fluid energy, expansion."
YELLOW,"Intellect, willpower, clarity, solar energy, confidence."
GREEN,"Healing, balance, nature, compassion, harmony."
AQUA,"Emotional clarity, peace, flow, intuitive expression, openness."
BLUE,"Communication, truth, trust, calm, spiritual alignment."
INDIGO,"Intuition, inner sight, psychic perception, mystery, wisdom."
PURPLE,"Spiritual power, nobility, transformation, cosmic wisdom."
VIOLET,"Divine grace, transmutation, higher wisdom, ascension."
GOLD,"Mastery, enlightenment, divine masculine energy, abundance."
SILVER,"Receptivity, divine feminine, moon energy, reflection."
GRAY,"Neutrality, transition, integration of dualities, subtle power."
