
filename,description
3rd-eye-chakra.png,Third Eye Chakra Symbol
air-element.png,Air Element Symbol
ankh.png,Egyptian Ankh Symbol
aquarius.png,Aquarius Zodiac Sign
aries.png,Aries Zodiac Sign
brain.png,Brain Anatomy Symbol
cancer.png,Cancer Zodiac Sign
capricorn.png,Capricorn Zodiac Sign
cat.png,Cat Chinese Zodiac
crown-center.png,Crown Chakra Symbol
dna.png,DNA Double Helix
dog.png,Dog Chinese Zodiac
dragon.png,Dragon Chinese Zodiac
earth.png,Earth Element Symbol
ether.png,Ether Element Symbol
eye-of-horus.png,Eye of Horus Egyptian Symbol
female-reproductive.png,Female Reproductive System
fire.png,Fire Element Symbol
gemini.png,Gemini Zodiac Sign
goat.png,Goat Chinese Zodiac
heart-chakra.png,Heart Chakra Symbol
heart.png,Heart Anatomy Symbol
horse.png,Horse Chinese Zodiac
intestines.png,Intestines Anatomy Symbol
kaballah-tree-of-life.png,Kabbalah Tree of Life
kidneys.png,Kidneys Anatomy Symbol
leo.png,Leo Zodiac Sign
liver.png,Liver Anatomy Symbol
lotus.png,Lotus Sacred Symbol
lungs.png,Lungs Anatomy Symbol
maat-feather.png,Maat Feather Egyptian Symbol
male-reproductive.png,Male Reproductive System
monkey.png,Monkey Chinese Zodiac
navel-chakra.png,Solar Plexus Chakra Symbol
om.png,Om Sacred Symbol
ox.png,Ox Chinese Zodiac
pancreas.png,Pancreas Anatomy Symbol
pentagram.png,Pentagram Sacred Symbol
pig.png,Pig Chinese Zodiac
pisces.png,Pisces Zodiac Sign
rat.png,Rat Chinese Zodiac
rooster.png,Rooster Chinese Zodiac
root-chakra.png,Root Chakra Symbol
sacral-chakra.png,Sacral Chakra Symbol
sagittarius.png,Sagittarius Zodiac Sign
scorpio.png,Scorpio Zodiac Sign
seed-of-life.png,Seed of Life Sacred Geometry
skeleton.png,Skeleton Anatomy Symbol
snake.png,Snake Chinese Zodiac
spine.png,Spine Anatomy Symbol
spleen.png,Spleen Anatomy Symbol
sri-yantra.png,Sri Yantra Sacred Geometry
stomach.png,Stomach Anatomy Symbol
taurus.png,Taurus Zodiac Sign
throat-chakra.png,Throat Chakra Symbol
tiger.png,Tiger Chinese Zodiac
triskelion.png,Triskelion Celtic Symbol
virgo.png,Virgo Zodiac Sign
ward.png,Ward Star Protection Symbol
water.png,Water Element Symbol
